01:08:43 device mps; 72 train / 8 val episodes from out/demos/ball; task: 'put the red ball in the crate'
01:08:46   loaded 10/72 episodes
01:08:49   loaded 20/72 episodes
01:08:52   loaded 30/72 episodes
01:08:55   loaded 40/72 episodes
01:08:58   loaded 50/72 episodes
01:09:00   loaded 60/72 episodes
01:09:03   loaded 70/72 episodes
01:09:06 25509 train rows, 2767 val rows, frames at 128 px
01:09:22 step     25  loss 13.5253  l1 0.5052  kl 1.302  0.64s/step  eta 3.6h
01:09:27 step     50  loss 3.3492  l1 0.2664  kl 0.308  0.42s/step  eta 2.4h
01:09:33 step     75  loss 2.8121  l1 0.2206  kl 0.259  0.36s/step  eta 2.0h
01:09:38 step    100  loss 2.5967  l1 0.1815  kl 0.242  0.32s/step  eta 1.7h
01:09:44 step    125  loss 2.4342  l1 0.1838  kl 0.225  0.30s/step  eta 1.7h
01:09:49 step    150  loss 2.1966  l1 0.1710  kl 0.203  0.28s/step  eta 1.6h
01:09:54 step    175  loss 2.1027  l1 0.1705  kl 0.193  0.27s/step  eta 1.5h
01:09:58 step    200  loss 2.0217  l1 0.1549  kl 0.187  0.26s/step  eta 1.4h
01:10:04 step    225  loss 1.9027  l1 0.1536  kl 0.175  0.26s/step  eta 1.4h
01:10:11 step    250  loss 1.7960  l1 0.1413  kl 0.165  0.26s/step  eta 1.4h
01:10:14   val l1 0.1063 (best 0.1063)  *  -> last.pt
01:10:19 step    275  loss 1.6605  l1 0.1357  kl 0.152  0.26s/step  eta 1.4h
01:10:25 step    300  loss 1.6192  l1 0.1346  kl 0.148  0.26s/step  eta 1.4h
01:10:31 step    325  loss 1.5664  l1 0.1186  kl 0.145  0.26s/step  eta 1.4h
01:10:36 step    350  loss 1.4649  l1 0.1212  kl 0.134  0.26s/step  eta 1.4h
01:10:42 step    375  loss 1.4157  l1 0.1111  kl 0.130  0.26s/step  eta 1.4h
01:10:47 step    400  loss 1.3291  l1 0.1129  kl 0.122  0.25s/step  eta 1.4h
01:10:52 step    425  loss 1.3416  l1 0.1093  kl 0.123  0.25s/step  eta 1.4h
01:10:57 step    450  loss 1.2056  l1 0.1014  kl 0.110  0.25s/step  eta 1.3h
