09:17:38 device mps; 72 train / 8 val episodes from out/demos/ball; task: 'put the red ball in the crate'
09:17:59   loaded 20/72 episodes
09:18:10   loaded 40/72 episodes
09:18:18   loaded 60/72 episodes
09:18:26 25509 train rows, 2767 val rows, frames at 128 px
09:18:37 step     25  loss 13.3493  l1 0.5752  kl 1.277  0.41s/step  eta 2.2h
09:18:45 step     50  loss 3.4527  l1 0.2822  kl 0.317  0.38s/step  eta 2.1h
09:18:54 step     75  loss 2.8588  l1 0.2582  kl 0.260  0.36s/step  eta 2.0h
09:19:02 step    100  loss 2.6712  l1 0.2420  kl 0.243  0.35s/step  eta 2.0h
09:19:10 step    125  loss 2.4538  l1 0.1905  kl 0.226  0.35s/step  eta 1.9h
09:19:18 step    150  loss 2.2389  l1 0.1791  kl 0.206  0.35s/step  eta 1.9h
09:19:27 step    175  loss 2.1090  l1 0.1818  kl 0.193  0.34s/step  eta 1.9h
09:19:35 step    200  loss 2.0434  l1 0.1709  kl 0.187  0.34s/step  eta 1.9h
09:19:43 step    225  loss 1.8969  l1 0.1537  kl 0.174  0.34s/step  eta 1.9h
09:19:51 step    250  loss 1.7836  l1 0.1563  kl 0.163  0.34s/step  eta 1.9h
09:19:54   val l1 0.1254 (best 0.1254)  *  -> last.pt
09:20:02 step    275  loss 1.7004  l1 0.1555  kl 0.154  0.35s/step  eta 1.9h
09:20:10 step    300  loss 1.6443  l1 0.1572  kl 0.149  0.35s/step  eta 1.9h
09:20:18 step    325  loss 1.6016  l1 0.1511  kl 0.145  0.34s/step  eta 1.9h
09:20:26 step    350  loss 1.4575  l1 0.1374  kl 0.132  0.34s/step  eta 1.9h
09:20:35 step    375  loss 1.4281  l1 0.1436  kl 0.128  0.34s/step  eta 1.9h
09:20:43 step    400  loss 1.3625  l1 0.1290  kl 0.123  0.34s/step  eta 1.9h
09:20:51 step    425  loss 1.3331  l1 0.1223  kl 0.121  0.34s/step  eta 1.9h
09:20:59 step    450  loss 1.2361  l1 0.1250  kl 0.111  0.34s/step  eta 1.8h
09:21:07 step    475  loss 1.1980  l1 0.1241  kl 0.107  0.34s/step  eta 1.8h
09:21:15 step    500  loss 1.1096  l1 0.1207  kl 0.099  0.34s/step  eta 1.8h
09:21:18   val l1 0.0909 (best 0.0909)  *  -> last.pt
